sample_id,text,label,device_type,specialty,supervision_stage,event_time,source_unit,data_source
synthetic_v1_验收把关不严_0014,现场检查发现断路器联动验收未组织必要见证资料，仍出具通过意见,验收把关不严,断路器,一次设备,检修验收,2025-01-22,变电运维站,synthetic_v1
synthetic_v1_记录台账不规范_0088,到货验收过程中配电自动化终端原始记录未签字确认时间戳，整改闭环信息缺失,记录台账不规范,配电自动化终端,配电,到货验收,2024-02-13,检修中心,synthetic_v1
synthetic_v1_标准执行不到位_0198,接地网在隐蔽验收环节周期要求执行频次低于实施步骤，与标准要求存在偏差,标准执行不到位,接地网,土建,隐蔽验收,2025-02-28,变电运维站,synthetic_v1
synthetic_v1_标准执行不到位_0083,二次设备专业直流系统双签要求未按填报要求，与标准要求存在偏差,标准执行不到位,直流系统,二次设备,日常巡检,2024-10-24,检修中心,synthetic_v1
synthetic_v1_验收把关不严_0048,现场检查发现直流系统功能验收未组织必要见证资料，未形成风险复核闭环,验收把关不严,直流系统,二次设备,试验检测,2024-09-06,设备检修部,synthetic_v1
synthetic_v1_试验检测缺失_0059,现场检查发现接地网功能校验漏做关键项目，导致结果无法满足验收依据,试验检测缺失,接地网,土建,整改复验,2024-07-20,营销运维班,synthetic_v1
synthetic_v1_试验检测缺失_0085,配电自动化终端在到货验收环节预防性试验仅完成部分高风险回路，现场未提供替代依据,试验检测缺失,配电自动化终端,配电,到货验收,2024-04-20,试验班,synthetic_v1
synthetic_v1_记录台账不规范_0045,现场检查发现避雷器巡检台账仅保留结论关键字段，整改闭环信息缺失,记录台账不规范,避雷器,一次设备,试验检测,2024-04-03,检修中心,synthetic_v1
synthetic_v1_标准执行不到位_0053,检修验收过程中电缆线路判定规则仍沿用验收规则，相关班组未完成切换宣贯,标准执行不到位,电缆线路,输电,检修验收,2024-09-13,运维二班,synthetic_v1
synthetic_v1_验收把关不严_0145,试验检测过程中直流系统投运验收仅抽查全量回路，未形成风险复核闭环,验收把关不严,直流系统,二次设备,试验检测,2025-01-03,试验班,synthetic_v1
synthetic_v1_记录台账不规范_0109,输电专业架空线路原始记录未签字确认关键字段，扫描件质量较差,记录台账不规范,架空线路,输电,竣工验收,2024-04-20,试验班,synthetic_v1
synthetic_v1_试验检测缺失_0127,二次设备专业继电保护装置核容试验漏做关键项目，导致结果无法满足验收依据,试验检测缺失,继电保护装置,二次设备,工程验收,2025-06-03,输电运检室,synthetic_v1
synthetic_v1_记录台账不规范_0125,继电保护装置操作记录时间不一致关键字段，无法支撑后续追溯,记录台账不规范,继电保护装置,二次设备,定期检验,2025-01-27,运维二班,synthetic_v1
synthetic_v1_记录台账不规范_0197,断路器原始记录漏填复验结论，不满足留痕管理要求,记录台账不规范,断路器,一次设备,试验检测,2024-09-15,继保班,synthetic_v1
synthetic_v1_记录台账不规范_0023,一次设备专业避雷器操作记录未签字确认检查明细，台账完整性不足,记录台账不规范,避雷器,一次设备,在线监测,2024-04-28,配电工程部,synthetic_v1
synthetic_v1_验收把关不严_0064,缺陷处理过程中断路器检修验收仅抽查专项复验，未形成风险复核闭环,验收把关不严,断路器,一次设备,缺陷处理,2025-04-29,检修中心,synthetic_v1
synthetic_v1_验收把关不严_0123,现场检查发现电能表联动验收未完成复验即关键试验结果，关键见证点缺失,验收把关不严,电能表,营销,轮换验收,2024-10-09,运检一班,synthetic_v1
synthetic_v1_标准执行不到位_0085,交接验收过程中开关柜判定规则抽检比例低于验收规则，现场人员解释依据不充分,标准执行不到位,开关柜,配电,交接验收,2024-04-21,检修中心,synthetic_v1
synthetic_v1_标准执行不到位_0079,二次设备专业直流系统双签要求抽检比例低于验收规则，相关班组未完成切换宣贯,标准执行不到位,直流系统,二次设备,日常巡检,2025-04-15,检修中心,synthetic_v1
synthetic_v1_试验检测缺失_0041,防误闭锁装置状态检测未覆盖必要工况，与现行标准要求不符,试验检测缺失,防误闭锁装置,二次设备,运行维护,2024-01-10,运维二班,synthetic_v1
synthetic_v1_验收把关不严_0126,避雷器检修验收资料未齐套即专项复验，关键见证点缺失,验收把关不严,避雷器,一次设备,异常处置,2024-11-28,运维二班,synthetic_v1
synthetic_v1_记录台账不规范_0139,二次设备专业继电保护装置原始记录漏填关键字段，扫描件质量较差,记录台账不规范,继电保护装置,二次设备,工程验收,2024-04-12,运检一班,synthetic_v1
synthetic_v1_标准执行不到位_0025,继电保护装置作业流程仍沿用抽检口径，现场人员解释依据不充分,标准执行不到位,继电保护装置,二次设备,工程验收,2024-12-27,运检一班,synthetic_v1
synthetic_v1_试验检测缺失_0101,二次回路状态检测超周期仍未实施规定项目，导致结果无法满足验收依据,试验检测缺失,二次回路,二次设备,现场作业,2024-01-15,试验班,synthetic_v1
synthetic_v1_试验检测缺失_0026,试验检测过程中电缆线路预防性试验未开展重点测点，与现行标准要求不符,试验检测缺失,电缆线路,输电,试验检测,2024-08-13,基建项目部,synthetic_v1
synthetic_v1_试验检测缺失_0069,现场检查发现避雷器耐压试验未覆盖必要工况，现场未提供替代依据,试验检测缺失,避雷器,一次设备,在线监测,2024-05-16,设备检修部,synthetic_v1
synthetic_v1_试验检测缺失_0187,工程验收过程中继电保护装置耐压试验未覆盖全部间隔，未见补测安排,试验检测缺失,继电保护装置,二次设备,工程验收,2024-01-08,运维二班,synthetic_v1
synthetic_v1_标准执行不到位_0132,缺陷处理过程中断路器判定规则仍沿用验收规则，仍按历史经验执行,标准执行不到位,断路器,一次设备,缺陷处理,2024-06-22,输电运检室,synthetic_v1
synthetic_v1_试验检测缺失_0033,配电自动化终端功能校验未覆盖规定项目，且原始记录无说明,试验检测缺失,配电自动化终端,配电,到货验收,2025-02-20,检修中心,synthetic_v1
synthetic_v1_试验检测缺失_0183,接地网在现场检查环节功能校验超周期仍未实施全部间隔，现场未提供替代依据,试验检测缺失,接地网,土建,现场检查,2025-03-29,试验班,synthetic_v1
synthetic_v1_试验检测缺失_0114,输电专业电缆线路状态检测未开展关键项目，且原始记录无说明,试验检测缺失,电缆线路,输电,隐患排查,2025-03-24,设备检修部,synthetic_v1
synthetic_v1_试验检测缺失_0098,配电专业开关柜交接试验漏做关键项目，未见补测安排,试验检测缺失,开关柜,配电,交接验收,2024-11-09,试验班,synthetic_v1
synthetic_v1_记录台账不规范_0150,营销专业电能表验收问题清单未签字确认复验结论，扫描件质量较差,记录台账不规范,电能表,营销,轮换验收,2024-03-17,检修中心,synthetic_v1
synthetic_v1_标准执行不到位_0057,土建专业接地网最新标准条款执行频次低于填报要求，仍按历史经验执行,标准执行不到位,接地网,土建,整改复验,2024-11-05,试验班,synthetic_v1
synthetic_v1_试验检测缺失_0097,二次设备专业防误闭锁装置耐压试验未覆盖必要工况，导致结果无法满足验收依据,试验检测缺失,防误闭锁装置,二次设备,联调联试,2024-12-18,设备管理部,synthetic_v1
synthetic_v1_记录台账不规范_0143,接地网检测报告仅保留结论处理依据，无法支撑后续追溯,记录台账不规范,接地网,土建,现场检查,2024-05-15,运维二班,synthetic_v1
synthetic_v1_标准执行不到位_0013,大修验收过程中主变压器作业流程执行频次低于巡检周期，仍按历史经验执行,标准执行不到位,主变压器,一次设备,大修验收,2024-08-31,输电运检室,synthetic_v1
synthetic_v1_标准执行不到位_0004,二次设备专业二次回路判定规则简化处理验收规则，与标准要求存在偏差,标准执行不到位,二次回路,二次设备,技改验收,2025-02-22,配电工程部,synthetic_v1
synthetic_v1_验收把关不严_0111,现场检查发现主变压器功能验收未覆盖关键试验结果，关键见证点缺失,验收把关不严,主变压器,一次设备,状态监测,2025-02-01,变电运维站,synthetic_v1
