node_id,node_type,name,standard_no,status,clause_no,text
Problem:SP-001,Problem,SP-001,,,,GIS接地线未按要求与接地母线采用螺栓连接，现场缺少防松检查记录。
Standard:STD-GIS-001,Standard,组合电器安装与接地监督标准,Q/GDW-SAMPLE-001,现行,,
Clause:CLAUSE-GIS-001,Clause,4.3.10,,,4.3.10,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。
ProblemCategory_77160097e82d,ProblemCategory,施工质量,,,,
Equipment_b8b96da032b8,Equipment,组合电器,,,,
RevisionNeed_77678a4b7941,RevisionNeed,执行落实问题,,,,
RevisionPriority_50106b2b9323,RevisionPriority,low,,,,
Problem:SP-002,Problem,SP-002,,,,组合电器气室压力异常告警后未完成渗漏整改闭环。
Clause:CLAUSE-GIS-002,Clause,5.2.4,,,5.2.4,组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。
ProblemCategory_5c28c6cb4f63,ProblemCategory,设备缺陷,,,,
Problem:SP-003,Problem,SP-003,,,,主变压器套管油位检查记录缺失，冷却装置密封缺陷未闭环。
Standard:STD-TRANS-002,Standard,主变压器施工质量监督标准,Q/GDW-SAMPLE-002,在运,,
Clause:CLAUSE-TRANS-001,Clause,3.1.2,,,3.1.2,主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。
Equipment_ad97cc02a5d9,Equipment,主变压器,,,,
RevisionNeed_46f07ed73184,RevisionNeed,需人工判断,,,,
RevisionPriority_38096d377428,RevisionPriority,low,,,,
Problem:SP-004,Problem,SP-004,,,,变压器交接试验报告数据复核不完整，异常处置记录缺失。
Clause:CLAUSE-TRANS-002,Clause,6.4.1,,,6.4.1,变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。
ProblemCategory_d214ac8429fb,ProblemCategory,验收整改,,,,
Problem:SP-005,Problem,SP-005,,,,验收发现的问题未明确责任单位和整改时限，复验结论缺失。
Standard:STD-ACCEPT-003,Standard,电力工程验收整改闭环管理标准,Q/GDW-SAMPLE-003,待修订,,
Clause:CLAUSE-ACCEPT-001,Clause,2.2.1,,,2.2.1,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。
Equipment_e0e7e69d2975,Equipment,通用设备,,,,
RevisionNeed_e2b9f2511783,RevisionNeed,适用性不足,,,,
RevisionPriority_218d8c9aaedd,RevisionPriority,high,,,,
Problem:SP-006,Problem,SP-006,,,,特殊工况下现场条件变化，现有标准适用性不明确，缺少复核意见。
Clause:CLAUSE-ACCEPT-002,Clause,2.4.3,,,2.4.3,特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。
RevisionNeed_18c16323e72e,RevisionNeed,标准缺失,,,,
Problem:SP-007,Problem,SP-007,,,,临边高处作业未设置防坠落隔离措施，现场监护不到位。
Standard:STD-SAFE-004,Standard,施工现场安全风险监督旧版标准,Q/GDW-SAMPLE-004,废止,,
Clause:CLAUSE-SAFE-001,Clause,7.1.1,,,7.1.1,高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。
ProblemCategory_0079c61b34e6,ProblemCategory,安全风险,,,,
Equipment_d91fff61d4ab,Equipment,施工现场,,,,
RevisionPriority_6980849cf010,RevisionPriority,high,,,,
Problem:SP-008,Problem,SP-008,,,,吊装作业票审批缺失，动火作业安全交底记录不完整。
Clause:CLAUSE-SAFE-002,Clause,7.3.2,,,7.3.2,动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。
Problem:SP-009,Problem,SP-009,,,,现场提出当前验收整改标准缺少数字化闭环证据格式要求。
Problem:SP-010,Problem,SP-010,,,,GIS接地检查条款与设计变更要求存在不一致，现场执行边界不清。
RevisionNeed_922ce156cb42,RevisionNeed,标准冲突,,,,
RevisionPriority_797c4cedcfa2,RevisionPriority,medium,,,,
