sample_id,text,label,device_type,specialty,supervision_stage,event_time,source_unit,data_source
synthetic_v2_记录台账不规范_0186,设备管理部反馈，配电自动化终端操作记录与现场时间不一致，且未签字确认；同时报告中已写明整改计划但未说明完成时间。,记录台账不规范,配电自动化终端,配电,到货验收,2025-02-01,设备管理部,synthetic_v2
synthetic_v2_记录台账不规范_0150,复核时发现，架空线路异常处置单缺少责任人，无法支撑后续追溯。,记录台账不规范,架空线路,输电,日常巡检,2024-12-17,营销运维班,synthetic_v2
synthetic_v2_验收把关不严_0117,二次设备专业继电保护装置在工程验收环节中，继电保护装置检修验收时未核对见证资料即出具通过意见。,验收把关不严,继电保护装置,二次设备,工程验收,2025-08-04,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0023,电能表交接试验相关资料表面齐全，实际情况是：电能表交接试验已实施，但异常处置单关键信息缺失。,记录台账不规范,电能表,营销,抽检监督,2024-05-22,配电工程部,synthetic_v2
synthetic_v2_标准执行不到位_0139,GIS设备预防性试验相关资料表面齐全，实际情况是：GIS设备判定口径落实不到位，班组未完成新标准切换。,标准执行不到位,GIS设备,一次设备,设备检修,2025-07-04,运检一班,synthetic_v2
synthetic_v2_验收把关不严_0276,班组自查反映，班组口头说明此前一直按旧版要求执行，但GIS设备隐蔽验收时未核对见证资料即出具通过意见。,验收把关不严,,一次设备,,2025-07-01,设备检修部,synthetic_v2
synthetic_v2_标准执行不到位_0164,专项监督中发现，整改复验环节已安排检查，但现场仍以经验替代标准条款。,标准执行不到位,接地网,土建,整改复验,2024-05-07,设备检修部,synthetic_v2
synthetic_v2_记录台账不规范_0103,现场抽查发现，相关台账已补录但未形成有效闭环，但直流系统验收问题清单缺少复验结论，无法支撑后续追溯。,记录台账不规范,直流系统,二次设备,日常巡检,2024-04-05,变电运维站,synthetic_v2
synthetic_v2_记录台账不规范_0132,班组自查反映，架空线路验收问题清单仅保留结论，未附对应检查明细。,记录台账不规范,,,,2024-11-01,配电工程部,synthetic_v2
synthetic_v2_标准执行不到位_0159,设备管理部反馈，避雷器并非未做工作，而是执行口径与现行标准不一致；同时相关台账已补录但未形成有效闭环。,标准执行不到位,避雷器,一次设备,异常处置,2024-08-15,设备管理部,synthetic_v2
synthetic_v2_标准执行不到位_0091,变电运维站反馈，主变压器相关工作已开展，但判定口径未按现行标准执行；同时验收资料已提交但未说明复核依据。,标准执行不到位,,一次设备,大修验收,2024-04-30,变电运维站,synthetic_v2
synthetic_v2_记录台账不规范_0112,电缆线路局放检测相关资料表面齐全，实际情况是：检修验收形成的验收问题清单存在漏填漏签问题。,记录台账不规范,电缆线路,输电,检修验收,2024-06-29,运维二班,synthetic_v2
synthetic_v2_验收把关不严_0188,复核时发现，配电自动化终端投运验收仅抽查部分全量回路便办理验收。,验收把关不严,配电自动化终端,配电,运行维护,2024-07-07,营销运维班,synthetic_v2
synthetic_v2_记录台账不规范_0219,监督检查显示，断路器验收问题清单与现场时间不一致，且未签字确认。,记录台账不规范,断路器,一次设备,试验检测,2025-08-25,营销运维班,synthetic_v2
