sample_id,project_type,device_name,voltage_level,device_model,asset_id,device_type,problem_reason,event_time,problem_stage,supervision_stage,rule_level,problem_level,text,is_quality_issue,specialty,root_cause_analysis,supervision_opinion,resolved_time,actual_fix,rule_name,stage_name,stage_link,clause_no,checkpoint_no,checkpoint_text,source_unit,data_source,label
real_v1_000001,技改,,交流500kV,,,组合电器,工程设计,2025-10-09,工程设计,工程设计,一般,一般,依据设计图纸，现场实地勘察发现晋江变5023间隔HGIS新基础与旧有电缆沟几乎贴合，未留下足够空间，GIS接地线无法与汇流接地母线用螺栓紧固。,否,电气设备性能,,召集一次专业专责、设计人员与施工人员，进行图纸修改，将新基础位置向远离电缆沟的方向移动50cm，保证足够空间安装螺栓。,2025-10-17,召集一次专业专责、设计人员与施工人员，进行图纸修改。将主基础位置向远离电缆沟的方向移动50cm，留出足够空间进行接地扁铁及螺栓的安装。,组合电器全过程技术监督实施细则,设备采购,设备采购,3.6,3.6.2,3.6.2 接地线与 GIS接地母线应采用螺栓连接方式。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000002,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,一般,一般,新建14#塔A腿距地面15米处塔材上，多个螺栓与螺孔错位不齐，紧固后与塔材平面有空隙。,否,电气设备性能,施工人员组装塔材时，螺栓与角塔错孔。,施工人员应调整塔材组装角度，确保螺栓与铁塔平面无空隙。,2025-10-16,施工人员已重新更换螺栓，重新紧固。螺栓无错位无空隙。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.3,6.3.1,6.3.1 螺栓应与构件平面垂直，螺栓头与构件间的接触处不应有空隙。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000003,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建7#塔B腿距地面15米处斜材与主材螺孔不齐，施工人员强行扩孔组装，孔开超过5mm。,否,电气设备性能,铁塔装配时螺孔错位，施工人员采用扩孔方式强行组装。,施工人员应重新更换塔材或封堵原螺孔重新打孔。,2025-10-16,施工人员已更换扩孔的角铁并紧固螺栓。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.1,6.1.5,6.1.5 杆塔部件规格应满足组装要求，组装有困难时应查明原因，不得强行组装。螺孔扩孔部分不应超过3mm；超过3mm时，应先堵焊再重新打孔，并进行防锈处理，不得用气焊扩孔或烧孔。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000004,新建,跳线,交流220kV,,,导线,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建13#塔左侧下相的引流线过紧，对挂点距离为1.75米，安全距离不符合设计的1.95~2.15米。,否,电气设备性能,施工人员施工质量不良。,施工单位应更换或调整引流线，确保跳线在设计电气距离内。,2025-10-16,施工人员已重新调整跳线，测得最小安全距离2.01米，符合施工规范。,导、地线全过程技术监督实施细则,设备安装,安装调试,5.6,5.6.1,5.6.1 柔性引流线应呈近似悬链线状自然下垂，对铁塔及拉线等的电气间隙应符合设计规定．使用压接引流线时，中间不得有接头．刚性引流线的安装应符合设计要求。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000005,新建,运行杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建#18全塔多处螺栓未紧固。,否,电气设备性能,施工单位未紧固螺栓即开展架线工作。,施工人员应全塔紧固螺栓。,2025-10-16,施工人员已全塔紧固螺栓并安装防松罩。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.5,6.5.2,6.5.2 杆塔连接螺栓在组立结束时应全部紧固一次，110kV～750kV线路检查扭矩值合格后方可架线。架线后，螺栓还应复紧一遍。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000006,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建8#塔A腿距地面红10米处斜材与主材交叉紧固处空隙大于0.8mm,否,电气设备性能,施工人员施工装配质量不良。,施工人员应对斜材与主材交叉紧固的空隙加装垫片填补。,2025-10-16,施工人员已补装垫片，角铁交叉处无空隙。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.1,6.1.4,6.1.4 杆塔各构件的组装应牢固，交叉处有空隙者，应装设相应厚度的垫圈或垫板。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000007,新建,导线,交流220kV,,,导线,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建12号张力放线时，发现导线接续管过悬垂线夹时未使用保护套。,否,电气设备性能,施工单位作业时未详细检查保护措施。,施工单位在张力放线时，应检查导线以及接续管的保护。,2025-10-16,检查验收人员发现后，施工单位已立即补装导线接续管保护套。,导、地线全过程技术监督实施细则,设备安装,安装调试,5.2,5.2.3,5.2.3 张力放线时，直线接续管通过滑车时应加装保护套。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000008,新建,金具,交流220kV,,,金具,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建4#塔左侧下相大号侧的引流板螺栓3个未紧固，弹簧垫片未压平。,否,电气设备性能,施工人员未紧固引流板螺栓。,施工人员使用扭力扳手，应逐个紧固引流板螺栓至符合说明书中扭矩要求。,2025-10-16,施工人员已对该处的引流板4个螺栓全部紧固，弹簧垫片已平齐。,金具全过程技术监督实施细则,设备安装,安装调试,6.3,6.3.1,6.3.1 铝制引流连板及并沟线夹的连接面应平整，光洁，应保留电力复合脂，并应逐个均匀地紧固连接螺栓。螺栓的扭矩应符合该产品说明书的要求。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000009,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,一般,一般,新建14#塔的多个螺栓型号与紧固位置不匹配，单螺母的的螺栓与螺栓平齐，无露出螺牙。,否,电气设备性能,施工人员未按要求紧固螺栓。,施工人员应更换不匹配的螺栓。,2025-10-16,施工人员已更新不匹配的螺栓。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.3,6.3.2,6.3.2 螺母拧紧后，螺栓露出螺母的长度：对单螺母，不应小于2个螺距；对双螺母，可与螺母相平。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000010,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建14#塔A腿15米处多个螺栓长度不足，螺牙在受力切面上。,否,电气设备性能,螺栓过短，安装不匹配。,施工人员应更换螺栓。,2025-10-16,施工人员已更换长度不足的螺栓。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.3,6.3.4,6.3.4 110kV～750kV架空输电线路连接螺栓的螺纹不应进入剪切面。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
