problem_id,问题描述,设备类型,监督专业,监督环节,predicted_category,predicted_severity,category_confidence,severity_confidence,kg_match_status,kg_match_score,kg_point_id,kg_point_text,kg_project,kg_stage,kg_severity,kg_standard_refs,kg_requirement_texts,kg_top_matches,related_standard_id,related_standard_name,related_standard_no,related_clause_id,related_clause_no,related_clause_text,standard_match_confidence,problem_standard_relation_type,standard_status,standard_revision_trigger_evidence,standard_revision_priority_initial,graph_problem_node_id,graph_standard_node_id,graph_clause_node_id,graph_relation_type,kg_standard_id,kg_standard_name,kg_clause_id,kg_clause_title,kg_relation_type,kg_relation_confidence,revision_need,revision_need_type,revision_priority_score,revision_priority_label,revision_reason
SP-001,GIS接地线未按要求与接地母线采用螺栓连接，现场缺少防松检查记录。,组合电器,电气设备性能,安装调试,施工质量,重大,0.91,0.88,matched,0.85,CLAUSE-GIS-001,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,施工质量,,较大,Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,"[{""kg_point_id"": ""CLAUSE-GIS-001"", ""score"": 0.85, ""kg_point_text"": ""GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。"", ""kg_project"": ""施工质量"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行""]}]",STD-GIS-001,组合电器安装与接地监督标准,Q/GDW-SAMPLE-001,CLAUSE-GIS-001,4.3.10,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,0.85,standard_execution,现行,问题更偏向标准或监督要求执行不到位，优先纳入整改闭环。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,low,Problem:SP-001,Standard:STD-GIS-001,Clause:CLAUSE-GIS-001,PROBLEM_MATCHES_CLAUSE,STD-GIS-001,组合电器安装与接地监督标准,CLAUSE-GIS-001,4.3.10,standard_execution,0.85,False,执行落实问题,0.469,低,问题更偏向标准或监督要求执行不到位，优先纳入整改闭环。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。
SP-002,组合电器气室压力异常告警后未完成渗漏整改闭环。,组合电器,电气设备性能,竣工验收,设备缺陷,较大,0.86,0.8200000000000001,matched,0.85,CLAUSE-GIS-002,组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。,设备缺陷,,较大,Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行,组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。,"[{""kg_point_id"": ""CLAUSE-GIS-002"", ""score"": 0.85, ""kg_point_text"": ""组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。"", ""kg_project"": ""设备缺陷"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行""]}]",STD-GIS-001,组合电器安装与接地监督标准,Q/GDW-SAMPLE-001,CLAUSE-GIS-002,5.2.4,组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。,0.85,standard_execution,现行,问题更偏向标准或监督要求执行不到位，优先纳入整改闭环。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。,low,Problem:SP-002,Standard:STD-GIS-001,Clause:CLAUSE-GIS-002,PROBLEM_MATCHES_CLAUSE,STD-GIS-001,组合电器安装与接地监督标准,CLAUSE-GIS-002,5.2.4,standard_execution,0.85,False,执行落实问题,0.441,低,问题更偏向标准或监督要求执行不到位，优先纳入整改闭环。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 组合电器气室压力、密封状态和异常告警应在投运前完成核查，发现渗漏应完成整改。
SP-003,主变压器套管油位检查记录缺失，冷却装置密封缺陷未闭环。,主变压器,设备安装,安装调试,设备缺陷,重大,0.9,0.87,matched,0.85,CLAUSE-TRANS-001,主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。,设备缺陷,,重大,Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运,主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。,"[{""kg_point_id"": ""CLAUSE-TRANS-001"", ""score"": 0.85, ""kg_point_text"": ""主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。"", ""kg_project"": ""设备缺陷"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运""]}]",STD-TRANS-002,主变压器施工质量监督标准,Q/GDW-SAMPLE-002,CLAUSE-TRANS-001,3.1.2,主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。,0.85,manual_review,在运,当前规则未发现明确修订信号，建议结合人工复核确认。 关联标准依据：Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运 主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。,low,Problem:SP-003,Standard:STD-TRANS-002,Clause:CLAUSE-TRANS-001,PROBLEM_MATCHES_CLAUSE,STD-TRANS-002,主变压器施工质量监督标准,CLAUSE-TRANS-001,3.1.2,manual_review,0.85,False,需人工判断,0.469,低,当前规则未发现明确修订信号，建议结合人工复核确认。 关联标准依据：Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运 主变压器安装前应检查套管、油位、冷却装置和本体密封，缺陷未闭环不得进入下一工序。
SP-004,变压器交接试验报告数据复核不完整，异常处置记录缺失。,主变压器,试验验收,竣工验收,验收整改,较大,0.84,0.81,matched,0.85,CLAUSE-TRANS-002,变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。,验收整改,,重大,Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运,变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。,"[{""kg_point_id"": ""CLAUSE-TRANS-002"", ""score"": 0.85, ""kg_point_text"": ""变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。"", ""kg_project"": ""验收整改"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运""]}]",STD-TRANS-002,主变压器施工质量监督标准,Q/GDW-SAMPLE-002,CLAUSE-TRANS-002,6.4.1,变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。,0.85,manual_review,在运,当前规则未发现明确修订信号，建议结合人工复核确认。 关联标准依据：Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运 变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。,low,Problem:SP-004,Standard:STD-TRANS-002,Clause:CLAUSE-TRANS-002,PROBLEM_MATCHES_CLAUSE,STD-TRANS-002,主变压器施工质量监督标准,CLAUSE-TRANS-002,6.4.1,manual_review,0.85,False,需人工判断,0.441,低,当前规则未发现明确修订信号，建议结合人工复核确认。 关联标准依据：Q/GDW-SAMPLE-002 主变压器施工质量监督标准 在运 变压器交接试验项目应按批准方案完成，试验报告、数据复核和异常处置记录应齐全。
SP-005,验收发现的问题未明确责任单位和整改时限，复验结论缺失。,通用设备,验收管理,竣工验收,验收整改,一般,0.79,0.76,matched,0.85,CLAUSE-ACCEPT-001,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,验收整改,,较大,Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,"[{""kg_point_id"": ""CLAUSE-ACCEPT-001"", ""score"": 0.85, ""kg_point_text"": ""验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。"", ""kg_project"": ""验收整改"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订""]}]",STD-ACCEPT-003,电力工程验收整改闭环管理标准,Q/GDW-SAMPLE-003,CLAUSE-ACCEPT-001,2.2.1,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,0.85,standard_lagging,待修订,关联标准状态为待修订，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,high,Problem:SP-005,Standard:STD-ACCEPT-003,Clause:CLAUSE-ACCEPT-001,PROBLEM_MATCHES_CLAUSE,STD-ACCEPT-003,电力工程验收整改闭环管理标准,CLAUSE-ACCEPT-001,2.2.1,standard_lagging,0.85,True,适用性不足,0.76,高,关联标准状态为待修订，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。
SP-006,特殊工况下现场条件变化，现有标准适用性不明确，缺少复核意见。,通用设备,验收管理,工程设计,验收整改,较大,0.8300000000000001,0.8,matched,0.82,CLAUSE-ACCEPT-002,特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。,验收整改,,较大,Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订,特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。,"[{""kg_point_id"": ""CLAUSE-ACCEPT-002"", ""score"": 0.82, ""kg_point_text"": ""特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。"", ""kg_project"": ""验收整改"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订""]}]",STD-ACCEPT-003,电力工程验收整改闭环管理标准,Q/GDW-SAMPLE-003,CLAUSE-ACCEPT-002,2.4.3,特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。,0.82,standard_missing,待修订,问题描述或整改意见出现标准缺失/依据不足信号。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。,high,Problem:SP-006,Standard:STD-ACCEPT-003,Clause:CLAUSE-ACCEPT-002,PROBLEM_MATCHES_CLAUSE,STD-ACCEPT-003,电力工程验收整改闭环管理标准,CLAUSE-ACCEPT-002,2.4.3,standard_missing,0.82,True,标准缺失,0.76,高,问题描述或整改意见出现标准缺失/依据不足信号。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 特殊工况、设计变更或现场条件变化导致原标准难以适用时，应形成标准适用性复核意见。
SP-007,临边高处作业未设置防坠落隔离措施，现场监护不到位。,施工现场,安全管理,施工过程,安全风险,重大,0.93,0.9,matched,0.85,CLAUSE-SAFE-001,高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。,安全风险,,重大,Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止,高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。,"[{""kg_point_id"": ""CLAUSE-SAFE-001"", ""score"": 0.85, ""kg_point_text"": ""高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。"", ""kg_project"": ""安全风险"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止""]}]",STD-SAFE-004,施工现场安全风险监督旧版标准,Q/GDW-SAMPLE-004,CLAUSE-SAFE-001,7.1.1,高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。,0.85,standard_lagging,废止,关联标准状态为废止，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止 高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。,high,Problem:SP-007,Standard:STD-SAFE-004,Clause:CLAUSE-SAFE-001,PROBLEM_MATCHES_CLAUSE,STD-SAFE-004,施工现场安全风险监督旧版标准,CLAUSE-SAFE-001,7.1.1,standard_lagging,0.85,True,适用性不足,0.76,高,关联标准状态为废止，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止 高处作业、临边作业和交叉施工应设置隔离、防坠落和现场监护措施。
SP-008,吊装作业票审批缺失，动火作业安全交底记录不完整。,施工现场,安全管理,施工过程,安全风险,较大,0.88,0.85,matched,0.82,CLAUSE-SAFE-002,动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。,安全风险,,重大,Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止,动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。,"[{""kg_point_id"": ""CLAUSE-SAFE-002"", ""score"": 0.82, ""kg_point_text"": ""动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。"", ""kg_project"": ""安全风险"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止""]}]",STD-SAFE-004,施工现场安全风险监督旧版标准,Q/GDW-SAMPLE-004,CLAUSE-SAFE-002,7.3.2,动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。,0.82,standard_lagging,废止,关联标准状态为废止，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止 动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。,high,Problem:SP-008,Standard:STD-SAFE-004,Clause:CLAUSE-SAFE-002,PROBLEM_MATCHES_CLAUSE,STD-SAFE-004,施工现场安全风险监督旧版标准,CLAUSE-SAFE-002,7.3.2,standard_lagging,0.82,True,适用性不足,0.76,高,关联标准状态为废止，需复核当前条款适用性。 关联标准依据：Q/GDW-SAMPLE-004 施工现场安全风险监督旧版标准 废止 动火、吊装和带电邻近作业应完成风险辨识、作业票审批和安全交底。
SP-009,现场提出当前验收整改标准缺少数字化闭环证据格式要求。,通用设备,验收管理,竣工验收,验收整改,一般,0.77,0.72,matched,0.77,CLAUSE-ACCEPT-001,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,验收整改,,较大,Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,"[{""kg_point_id"": ""CLAUSE-ACCEPT-001"", ""score"": 0.77, ""kg_point_text"": ""验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。"", ""kg_project"": ""验收整改"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订""]}]",STD-ACCEPT-003,电力工程验收整改闭环管理标准,Q/GDW-SAMPLE-003,CLAUSE-ACCEPT-001,2.2.1,验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,0.77,standard_missing,待修订,问题描述或整改意见出现标准缺失/依据不足信号。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。,high,Problem:SP-009,Standard:STD-ACCEPT-003,Clause:CLAUSE-ACCEPT-001,PROBLEM_MATCHES_CLAUSE,STD-ACCEPT-003,电力工程验收整改闭环管理标准,CLAUSE-ACCEPT-001,2.2.1,standard_missing,0.77,True,标准缺失,0.76,高,问题描述或整改意见出现标准缺失/依据不足信号。 关联标准依据：Q/GDW-SAMPLE-003 电力工程验收整改闭环管理标准 待修订 验收发现的问题应明确责任单位、整改时限、复验结论和闭环证据，逾期未闭环应升级管控。
SP-010,GIS接地检查条款与设计变更要求存在不一致，现场执行边界不清。,组合电器,工程设计,工程设计,施工质量,较大,0.74,0.7000000000000001,matched,0.67,CLAUSE-GIS-001,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,施工质量,,较大,Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,"[{""kg_point_id"": ""CLAUSE-GIS-001"", ""score"": 0.67, ""kg_point_text"": ""GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。"", ""kg_project"": ""施工质量"", ""kg_stage"": """", ""kg_standard_refs"": [""Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行""]}]",STD-GIS-001,组合电器安装与接地监督标准,Q/GDW-SAMPLE-001,CLAUSE-GIS-001,4.3.10,GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,0.67,standard_conflict,现行,问题描述或整改意见出现标准冲突/交叉不一致信号。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。,medium,Problem:SP-010,Standard:STD-GIS-001,Clause:CLAUSE-GIS-001,PROBLEM_MATCHES_CLAUSE,STD-GIS-001,组合电器安装与接地监督标准,CLAUSE-GIS-001,4.3.10,standard_conflict,0.67,True,标准冲突,0.6486,中,问题描述或整改意见出现标准冲突/交叉不一致信号。 关联标准依据：Q/GDW-SAMPLE-001 组合电器安装与接地监督标准 现行 GIS接地线应与接地母线采用螺栓连接方式，连接点应可靠防松并保留检查记录。
